Country,Date,AP Adj,Cost
CHINA,2015-01-01,-1.9285681777604413,-1.5607768073958312
CHINA,2015-02-01,-1.3042418265667288,-1.8427000127019928
CHINA,2015-03-01,-1.1785825466424895,-1.4857690992750268
CHINA,2015-04-01,-1.8214228280363212,-1.4622269429018848
CHINA,2015-05-01,-1.8850673354628533,-1.3244140056180815
CHINA,2015-06-01,-1.6691469010857887,-1.315259345096018
CHINA,2015-07-01,-1.6612987198667195,0.5833074360746819
CHINA,2015-08-01,-0.8359952955630617,-0.06262837843561254
CHINA,2015-09-01,-0.8799839977742676,-0.9358507707054522
CHINA,2015-10-01,-1.0348971964317486,-1.1236389661635582
CHINA,2015-11-01,-0.9845769209938072,-1.0250106651657516
CHINA,2015-12-01,-0.6601571488714952,-0.17628287253022284
CHINA,2016-01-01,-0.5535597577460039,-0.21861617418549556
CHINA,2016-02-01,-0.49068592757431684,-0.21622946342515353
CHINA,2016-03-01,-0.3462758579266802,-0.4124775960854126
CHINA,2016-04-01,-0.43136145503503875,0.06617556611901139
CHINA,2016-05-01,-0.8865948531254657,0.49188408821725044
CHINA,2016-06-01,-1.0669616124934407,0.0821205868324723
CHINA,2016-07-01,-0.8144057267770911,0.08942638690638363
CHINA,2016-08-01,-0.5802683204081962,0.8813661507465377
CHINA,2016-09-01,-0.43855208593575346,0.8302591658736681
CHINA,2016-10-01,-0.4018423950443957,0.48937412009369824
CHINA,2016-11-01,-0.2687202725285101,0.7578286571654393
CHINA,2016-12-01,-0.15962348314991887,3.3862807224073945
CHINA,2017-01-01,-0.6080515889670537,-0.9606815267848821
CHINA,2017-02-01,-1.026331366209314,-0.4706998923799602
CHINA,2017-03-01,-0.3651963380548148,0.517319925897893
CHINA,2017-04-01,0.5094162896918951,0.018799917786958154
CHINA,2017-05-01,0.4916553606627943,-0.5844552334081059
CHINA,2017-06-01,0.33272262054311436,-1.8549921333784973
CHINA,2017-07-01,0.5150443547823266,0.85921344101322
CHINA,2017-08-01,0.8492142547434646,0.38296939999881324
CHINA,2017-09-01,0.622104859304078,1.0405026118656995
CHINA,2017-10-01,0.7054334536800592,-0.132974717184105
CHINA,2017-11-01,0.7120902668492072,0.5573337480818489
CHINA,2017-12-01,1.6213374132460157,3.1075397981150212
CHINA,2018-01-01,1.4590781217073108,-0.6211191781799228
CHINA,2018-02-01,1.0754540744157421,0.4082366776326857
CHINA,2018-03-01,0.8040236663892077,-0.19657599842476148
CHINA,2018-04-01,0.9154749101335193,-0.4027855670753696
CHINA,2018-05-01,1.202965807925022,1.0346642131112616
CHINA,2018-06-01,2.0665414889303215,1.0662517137375764
CHINA,2018-07-01,1.6807114663771754,0.19432912638886116
CHINA,2018-08-01,0.6238937665445093,0.5889543825284637
CHINA,2018-09-01,0.49695120293444967,-0.6258813944857704
CHINA,2018-10-01,0.5332578791145581,0.9186342134711465
CHINA,2018-11-01,0.34022797329311183,0.03833012542414041
CHINA,2018-12-01,0.7591759065040226,1.0900515900519758
CHINA,2019-01-01,0.8049897568733041,-0.45000152863579196
CHINA,2019-02-01,0.7095106224748273,0.0016358605959306601
CHINA,2019-03-01,0.6547677908634382,-0.10355869629652693
CHINA,2019-04-01,1.176371348506479,0.06056408542522748
CHINA,2019-05-01,0.9690627021697981,-0.28772760736219005
CHINA,2019-06-01,1.163538511648272,0.4984190604070867
CHINA,2019-07-01,0.4873540657236918,-0.1884381986889824
Germany,2015-01-01,-1.8762354813839484,-0.4989821460297455
Germany,2015-02-01,-1.4767038083803892,-1.0206136603163962
Germany,2015-03-01,-1.1425059939292241,-0.5109157089582907
Germany,2015-04-01,-0.9297336611653411,-1.1359547915504504
Germany,2015-05-01,-0.7402678351064726,-0.5436705929797362
Germany,2015-06-01,-0.8530065609985282,-0.8857993510817875
Germany,2015-07-01,-0.7586577562185424,-0.4418108926691429
Germany,2015-08-01,-0.7314747108729375,0.6662129355624136
Germany,2015-09-01,-0.8457498697627882,-0.4644547034979922
Germany,2015-10-01,-0.7033343495825525,-0.7637424699988243
Germany,2015-11-01,-0.5005724687350723,-0.5055481022017272
Germany,2015-12-01,-0.3210934571618719,0.23917612825537984
Germany,2016-01-01,-0.4536048938640133,-1.0480009375812787
Germany,2016-02-01,-0.6160649553077917,-0.6881465943761589
Germany,2016-03-01,-0.6248226233952235,-0.5808443904705388
Germany,2016-04-01,-0.46427719384100563,-0.6034632356865677
Germany,2016-05-01,-0.7528074921115538,-0.11054217614432393
Germany,2016-06-01,-0.8217696962818172,-0.4958115132014499
Germany,2016-07-01,-0.5936684896860863,-1.0155955721393304
Germany,2016-08-01,-0.38931108226397304,0.12248685392897926
Germany,2016-09-01,-0.6029225438189599,-0.9084930931362799
Germany,2016-10-01,-0.39219484881368094,-0.18718660750548066
Germany,2016-11-01,-0.5339839770794316,-0.7980452220151856
Germany,2016-12-01,-0.6664363202047351,-0.3675881257516442
Germany,2017-01-01,-0.8714319382567017,-0.9159328457570048
Germany,2017-02-01,-0.5368677436291389,-0.9242214292136511
Germany,2017-03-01,-0.5992823794857224,-0.8661014825658423
Germany,2017-04-01,-0.5866127166115968,-0.8894193649408653
Germany,2017-05-01,-0.6864099491760711,-0.6591365522778965
Germany,2017-06-01,-0.7339566411001447,0.23173637563465485
Germany,2017-07-01,-0.3785560512794075,-0.34287216905863305
Germany,2017-08-01,-0.4715102476460098,-0.017819890126298695
Germany,2017-09-01,-0.4879618994377851,0.12398479069825269
Germany,2017-10-01,-0.6059008600916089,0.09452536756920903
Germany,2017-11-01,-0.03128673763161668,0.30853060067273946
Germany,2017-12-01,0.21513347778397876,3.926247623370643
Germany,2018-01-01,0.01981390122789486,-0.41453425065066163
Germany,2018-02-01,0.06186489050600934,-0.6707313694220604
Germany,2018-03-01,1.202961859253047,2.4691937551032597
Germany,2018-04-01,1.8071936824243813,1.5097652543836295
Germany,2018-05-01,1.779963362217306,1.1104652429209751
Germany,2018-06-01,2.2835470053176943,0.82945230500528
Germany,2018-07-01,1.7799160873558353,-0.5319225621360563
Germany,2018-08-01,1.7315775415021286,0.11129148658995452
Germany,2018-09-01,1.0513631972321438,-0.129776470811782
Germany,2018-10-01,0.9272903233025074,0.41337540172676385
Germany,2018-11-01,1.1231146182291738,2.156524420130254
Germany,2018-12-01,1.1514440789654417,0.3102174895494659
Germany,2019-01-01,1.6250988433329154,1.642303967337597
Germany,2019-02-01,1.4525574176805278,0.3875821981685295
Germany,2019-03-01,1.5199240952761583,1.8211576175888449
Germany,2019-04-01,1.3299855206025837,1.0172149535197947
Germany,2019-05-01,0.9473427918594023,0.17357696506499862
Germany,2019-06-01,1.1116465729005351,-0.6780000882669465
Germany,2019-07-01,0.65923796734209,0.9506566297384118
Ireland,2015-01-01,-1.9971818004272013,-3.0403189741458116
Ireland,2015-02-01,-2.1019669107920493,-1.3489629009130844
Ireland,2015-03-01,-1.9123251466348088,-2.5871006109431516
Ireland,2015-04-01,-1.8819336961778155,1.1257178028796238
Ireland,2015-05-01,-1.810510462499893,-1.2709281182270058
Ireland,2015-06-01,-1.7264074989449458,0.007821699413527098
Ireland,2015-07-01,-1.3573431235558284,-0.07733614926705655
Ireland,2015-08-01,-1.2052972018311632,-0.8470525343449964
Ireland,2015-09-01,-1.0309952507419309,-0.24052878063372016
Ireland,2015-10-01,-0.6492068107559399,0.8083692656617159
Ireland,2015-11-01,-0.617862163822177,-0.30272271506335935
Ireland,2015-12-01,0.24673137532742598,2.45751851501655
Ireland,2016-01-01,-0.16225641528637752,-1.4231703645573388
Ireland,2016-02-01,-0.6690022631688463,-1.307712906795648
Ireland,2016-03-01,-0.7359920248617953,0.2726509142241828
Ireland,2016-04-01,-0.3168072486825532,0.15177142115324085
Ireland,2016-05-01,-0.3374672281325294,-0.5655319559352747
Ireland,2016-06-01,-0.41092985892353984,0.07192929336407947
Ireland,2016-07-01,-0.2922236465258749,-0.5302355692162308
Ireland,2016-08-01,-0.5126337062588318,-0.850348281297678
Ireland,2016-09-01,0.4195924480215418,-0.03789350025270462
Ireland,2016-10-01,0.02228685608814356,0.6252958381611342
Ireland,2016-11-01,0.04726947072346928,1.138369218601208
Ireland,2016-12-01,0.09803272495141561,0.2897675354945623
Ireland,2017-01-01,-0.49095402825231116,-0.8960634809639093
Ireland,2017-02-01,-0.5867391904876633,-1.3733089025957983
Ireland,2017-03-01,-0.6917016397319103,-0.022265280831922953
Ireland,2017-04-01,-0.3526297023211386,-0.37140182898053503
Ireland,2017-05-01,-0.46448620050201955,-0.11465250992484055
Ireland,2017-06-01,-0.07374214710638217,0.34728363553975083
Ireland,2017-07-01,-0.04680880479766828,0.38332422318359316
Ireland,2017-08-01,-0.3657749467565852,0.01441319331889096
Ireland,2017-09-01,0.16491164984474033,0.7255503341733573
Ireland,2017-10-01,0.07449098871120628,1.3973511404312993
Ireland,2017-11-01,0.8832227808501434,2.257753723916903
Ireland,2017-12-01,0.7523023531338768,1.9680469353343906
Ireland,2018-01-01,0.7505776623449919,-0.03147006517716234
Ireland,2018-02-01,0.977571427975634,-0.35487852421129173
Ireland,2018-03-01,1.086014152728085,0.2993804031049565
Ireland,2018-04-01,1.1772993408986894,0.6655272581061211
Ireland,2018-05-01,0.8060625642369348,0.683069137047814
Ireland,2018-06-01,0.9561134235683622,-0.4073978466185435
Ireland,2018-07-01,0.436089327090898,0.3683784602756177
Ireland,2018-08-01,0.5868717092998461,0.4689518995413258
Ireland,2018-09-01,1.1836170384772766,-0.06347070494352507
Ireland,2018-10-01,0.9240594211170042,1.2927823232939446
Ireland,2018-11-01,1.4344850507470006,0.47192870324052294
Ireland,2018-12-01,1.0303075772368935,0.3127760197513414
Ireland,2019-01-01,0.7845911808493392,-0.4482285327758539
Ireland,2019-02-01,1.080192925447446,-0.5088277509380674
Ireland,2019-03-01,1.615645504432618,0.10885901664519644
Ireland,2019-04-01,1.662906315792435,0.11300527894050637
Ireland,2019-05-01,1.2397314148267164,0.05548917889531738
Ireland,2019-06-01,1.0874859868627273,-0.6929643226169337
Ireland,2019-07-01,1.2727164463949194,0.8316907434607922
Switzerland,2015-01-01,-3.210064308996655,-1.255365710914744
Switzerland,2015-02-01,-2.559447852963877,-1.3631674369260773
Switzerland,2015-03-01,-2.1881264177429904,-1.6391122083627705
Switzerland,2015-04-01,-2.010808665745617,-1.3098840643384473
Switzerland,2015-05-01,-1.4506455061237202,-1.1866839161612583
Switzerland,2015-06-01,-1.2090718364935131,-1.246214372198299
Switzerland,2015-07-01,-1.2564567882992272,-0.49861923011482406
Switzerland,2015-08-01,-1.1084040554633754,-0.7509585026090692
Switzerland,2015-09-01,-1.1566078291097324,-0.6152510354511853
Switzerland,2015-10-01,-1.1572507037073079,-0.4596630825086703
Switzerland,2015-11-01,-0.4400556763168873,-0.31960508884140737
Switzerland,2015-12-01,0.6733221785749709,0.3404724082389683
Switzerland,2016-01-01,0.5041436043652994,-0.4650598870339995
Switzerland,2016-02-01,-0.14881520305061022,3.548280686622504
Switzerland,2016-03-01,-0.484287777152446,0.12112842282030944
Switzerland,2016-04-01,-0.2563289456748439,0.6908702976661372
Switzerland,2016-05-01,-0.1727463618028482,-3.6166812430388697
Switzerland,2016-06-01,-0.27885956859633176,0.20333177882424325
Switzerland,2016-07-01,-0.09261726134456803,-0.2330912190903508
Switzerland,2016-08-01,-0.557396667984385,-0.27870791464335926
Switzerland,2016-09-01,-0.43941721572505876,-0.3856674988537296
Switzerland,2016-10-01,-0.10042050972201871,1.1501799022890533
Switzerland,2016-11-01,0.19441904139482036,-0.3738946369016874
Switzerland,2016-12-01,0.3121296867193961,1.608759188008251
Switzerland,2017-01-01,0.3798058115735172,0.11220882879828287
Switzerland,2017-02-01,-0.04284833332912577,-0.6048219635971501
Switzerland,2017-03-01,-0.3171743409108988,-0.2518525661589333
Switzerland,2017-04-01,-0.26066453364731984,-0.06486532072450264
Switzerland,2017-05-01,-0.17073453784708026,-0.026426307832798666
Switzerland,2017-06-01,-0.17061889328115368,-0.3406631887715143
Switzerland,2017-07-01,0.20306655479871175,0.081753919579911
Switzerland,2017-08-01,0.11566263572647496,0.05590516318045748
Switzerland,2017-09-01,0.16331160193883956,-0.1449216963831933
Switzerland,2017-10-01,0.41677484839865464,0.960775196600122
Switzerland,2017-11-01,0.6560814911770952,1.1152710903997445
Switzerland,2017-12-01,1.4198237914508176,1.758639428749865
Switzerland,2018-01-01,1.1248137363707487,0.38781607317877403
Switzerland,2018-02-01,0.3229547763852244,0.34264411808883577
Switzerland,2018-03-01,0.7649015851024993,0.3700588409219865
Switzerland,2018-04-01,0.9753972067245241,0.33197843578191416
Switzerland,2018-05-01,0.6074123651379042,0.8210625465598375
Switzerland,2018-06-01,0.6394101592319593,-0.284687031252971
Switzerland,2018-07-01,0.5158292527379239,0.7428131507351304
Switzerland,2018-08-01,0.719389900073523,0.400981724139836
Switzerland,2018-09-01,0.7448646598778889,-0.10205948926155047
Switzerland,2018-10-01,1.0526276069388314,1.040837347725507
Switzerland,2018-11-01,1.000825083532786,0.6563867834091202
Switzerland,2018-12-01,1.4507956309900156,1.5134702837975187
Switzerland,2019-01-01,1.3397280982466462,0.014508533867693775
Switzerland,2019-02-01,0.7849869113935061,0.15758535205075383
Switzerland,2019-03-01,0.9724308112209046,0.03566392791326513
Switzerland,2019-04-01,0.8121337272130168,-0.10411504954816281
Switzerland,2019-05-01,0.8614311498163438,-0.18841560321334858
Switzerland,2019-06-01,0.932911952169159,-0.18571407681811003
Switzerland,2019-07-01,0.5784839317495697,-0.2672140883970196
USA,2015-01-01,-2.9969401932444697,-0.4327193775298324
USA,2015-02-01,-2.343706770192867,-0.17124491049486487
USA,2015-03-01,-1.9707631610430185,-0.4089527701085458
USA,2015-04-01,-1.7521709393732061,-0.16759100933437354
USA,2015-05-01,-1.2607306675998233,-0.17520988075033997
USA,2015-06-01,-1.5898449092182017,-0.712008740682419
USA,2015-07-01,-1.6217869541395764,-0.3101442256389591
USA,2015-08-01,-1.4206253379846818,0.7617580902771597
USA,2015-09-01,-1.2480719972214716,-0.13310412519190246
USA,2015-10-01,-1.3048096922415324,0.25600617005532855
USA,2015-11-01,-0.5664102692686669,-0.3900750545830626
USA,2015-12-01,0.22201008150229226,0.7211751804374525
USA,2016-01-01,0.7818877284939107,-0.42755655911755064
USA,2016-02-01,1.0061571720303772,-0.00235760602979248
USA,2016-03-01,0.3857365569837511,0.30264332019145385
USA,2016-04-01,1.0112705076710873,0.4834580351791458
USA,2016-05-01,0.26758513082507923,4.593776485991651
USA,2016-06-01,0.5366470876973075,1.7558327757570567
USA,2016-07-01,0.5640281753217553,-0.45450349982338084
USA,2016-08-01,0.2930559100106114,-4.463784499727001
USA,2016-09-01,1.1834974721096445,0.672857328623949
USA,2016-10-01,1.0775559089250017,0.41007822851897124
USA,2016-11-01,1.1150063934413197,0.7008256902386836
USA,2016-12-01,1.9418323829480548,0.5313255332282679
USA,2017-01-01,1.2391112306385377,-0.06262143965516759
USA,2017-02-01,0.6607519248945254,-0.02938347471494681
USA,2017-03-01,0.28290979390432747,0.1093719129374387
USA,2017-04-01,0.9708318097533344,-0.6538616471300049
USA,2017-05-01,0.7463015208878587,0.2625246925830663
USA,2017-06-01,0.5293008741934424,-0.10887830043636422
USA,2017-07-01,0.2767373843809979,-0.14782651474706915
USA,2017-08-01,0.016111053857318525,-0.09035766015424178
USA,2017-09-01,-0.11954386106996484,-0.20012790810530107
USA,2017-10-01,0.08681164590077406,-0.005505439558143582
USA,2017-11-01,0.25959866060455555,0.4645431770751557
USA,2017-12-01,1.2944059069802074,1.0835373321888095
USA,2018-01-01,1.0597805782097642,-0.11812115718467307
USA,2018-02-01,0.3229692429752726,0.1953575625804812
USA,2018-03-01,0.5707461512556711,-0.2806756520145368
USA,2018-04-01,0.03628488255209104,0.2516230820446775
USA,2018-05-01,-0.09598671501952385,-0.43603377225893586
USA,2018-06-01,-0.384647292661277,-0.7227706796495525
USA,2018-07-01,0.06355089135491629,0.3778065510224202
USA,2018-08-01,-0.19631940618308108,-0.3817684650622193
USA,2018-09-01,-0.26259713551555336,-0.028793255878646427
USA,2018-10-01,-0.4287402662510612,0.7325553183296355
USA,2018-11-01,0.29432298576039423,0.3286901337710458
USA,2018-12-01,0.8356767784316914,0.32586265498230477
USA,2019-01-01,0.8691720096257427,-0.2323193032524385
USA,2019-02-01,0.047052696630665414,-0.5078197364955921
USA,2019-03-01,0.35649192875645785,-0.7938315194558373
USA,2019-04-01,-0.30354090903445907,-0.26667407799636234
USA,2019-05-01,-0.41562768129368344,-0.934587963525213
USA,2019-06-01,-0.48251707199925914,-0.4764131539205529
USA,2019-07-01,-0.4398092289533539,-0.5939858758063269
